revenue_code,description,category
0111,Room & Board - Medical/Surgical/GYN,Room and Board
0121,Room & Board Semi-private - Med/Surg,Room and Board
0250,Pharmacy - General Classification,Pharmacy
0258,Pharmacy - IV Solutions,Pharmacy
0270,Medical/Surgical Supplies - General,Supplies
0272,Medical/Surgical Supplies - Sterile Supply,Supplies
0300,Laboratory - General,Laboratory
0320,Radiology - Diagnostic - General,Radiology
0360,Operating Room Services - General,Operating Room
0370,Anesthesia - General,Anesthesia
0450,Emergency Room - General,Emergency Room
0490,Ambulatory Surgical Care - General,Ambulatory Surgery
0510,Clinic - General,Clinic
0636,Pharmacy - Drugs Requiring Detailed Coding,Pharmacy
0710,Recovery Room - General,Recovery Room
0722,Labor Room - Delivery,Labor & Delivery
0762,Specialty Room - Observation Hours,Observation
0981,Professional Fees - Emergency Room,Professional Fees
